Movie_Name,Certification,Release_Date,Genres,Language,Budget,Revenue,Runtime
Black Panther: Wakanda Forever,PG13,11/10/22,Action,English,"$250,000,000.00 ","$835,000,000.00 ",162
Puss in Boots: The Last Wish,PG,12/8/22,Animation,English,"$90,000,000.00 ","$369,105,725.00 ",103
Shotgun Wedding,R,12/28/22,Action,English,-,"$4,495,365.00 ",101
M3GAN,PG13,1/5/23,Science Fiction,English,"$12,000,000.00 ","$158,000,000.00 ",102
Transfusion,MA15+,1/5/23,Crime,English,-,-,105
Detective Knight: Independence,R,1/20/23,Action,English,-,-,92
JUNG_E,PG13,1/20/23,Science Fiction,Released,Language,-,98
Avatar: The Way of Water,PG13,12/15/22,Science Fiction,English,"$460,000,000.00 ","$2,176,000,000.00 ",192
Devotion,PG13,1/20/23,War,English,"$90,000,000.00 ","$20,000,000.00 ",139
The Price We Pay,R,1/13/23,Action,English,-,-,85
Kids vs. Aliens,NR,1/20/23,Science Fiction,English,-,-,75
Wolf Hound,R,6/3/22,War,English,-,-,127
Glass Onion: A Knives Out Mystery,NC16,12/23/22,Comedy,English,"$40,000,000.00 ","$13,280,000.00 ",140
Black Adam,PG13,10/20/22,Fantasy,English,"$200,000,000.00 ","$389,000,000.00 ",125
The Enforcer,R,9/23/22,Action,Spanish;,Budget,-,91
Teen Wolf: The Movie,R,1/18/23,Action,English,-,-,140
The Offering,R,1/13/23,Horror,English,-,-,93
Violent Night,M18,12/1/22,Action,English,"$20,000,000.00 ","$73,000,000.00 ",112
Babylon,R21,1/19/23,Drama,English,"$78,000,000.00 ","$42,110,960.00 ",189
Women in Fury,18,6/20/85,Action,fuga,Released,-,90
Prey for the Devil,NC16,10/27/22,Horror,English,-,"$37,655,699.00 ",93
Plane,NC16,1/19/23,Action,English,"$25,000,000.00 ","$29,000,000.00 ",107
Dolphin Boy,6+,4/7/22,Animation,Released,Language,-,90
Avatar,PG-13,12/18/09,Action,English,"$237,000,000.00 ","$2,920,357,254.00 ",162
